,trimester,artistID,counts,id,name,url,pictureURL
0,1956Q2,1395,1,1395,Freemasons,http://www.last.fm/music/Freemasons,http://userserve-ak.last.fm/serve/252/29022961.png
1,1956Q3,1583,2,1583,Баста,http://www.last.fm/music/%D0%91%D0%B0%D1%81%D1%82%D0%B0,http://userserve-ak.last.fm/serve/252/45877441.png
2,1957Q1,2984,1,2984,Claudia Leitte,http://www.last.fm/music/Claudia+Leitte,http://userserve-ak.last.fm/serve/252/62062815.png
3,1979Q2,250,1,250,Bob Marley,http://www.last.fm/music/Bob+Marley,http://userserve-ak.last.fm/serve/252/77849.jpg
4,2005Q3,11892,35,11892,Blood Ruby,http://www.last.fm/music/Blood+Ruby,http://userserve-ak.last.fm/serve/252/777322.jpg
5,2005Q3,599,11,599,David Bowie,http://www.last.fm/music/David+Bowie,http://userserve-ak.last.fm/serve/252/13533737.jpg
6,2005Q3,51,10,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
7,2005Q3,227,10,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
8,2005Q3,1377,10,1377,The Fray,http://www.last.fm/music/The+Fray,http://userserve-ak.last.fm/serve/252/15403831.jpg
9,2005Q4,227,20,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
10,2005Q4,51,16,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
11,2005Q4,225,16,225,Interpol,http://www.last.fm/music/Interpol,http://userserve-ak.last.fm/serve/252/50656.jpg
12,2005Q4,59,15,59,New Order,http://www.last.fm/music/New+Order,http://userserve-ak.last.fm/serve/252/6650979.jpg
13,2005Q4,217,15,217,Death Cab for Cutie,http://www.last.fm/music/Death+Cab+for+Cutie,http://userserve-ak.last.fm/serve/252/60010487.jpg
14,2006Q1,51,11,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
15,2006Q1,439,10,439,Los Hermanos,http://www.last.fm/music/Los+Hermanos,http://userserve-ak.last.fm/serve/252/22264369.jpg
16,2006Q1,1768,8,1768,Pato Fu,http://www.last.fm/music/Pato+Fu,http://userserve-ak.last.fm/serve/252/50454549.jpg
17,2006Q1,1159,7,1159,Architecture in Helsinki,http://www.last.fm/music/Architecture+in+Helsinki,http://userserve-ak.last.fm/serve/252/59960205.jpg
18,2006Q1,2660,7,2660,Bidê ou Balde,http://www.last.fm/music/Bid%C3%AA+ou+Balde,http://userserve-ak.last.fm/serve/252/53768009.jpg
19,2006Q2,72,17,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
20,2006Q2,227,17,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
